Frame, X_cm, Y_cm
770, 178.41, 24.47
771, 178.41, 24.47
772, 178.02, 24.57
773, 178.02, 24.57
774, 177.57, 24.08
775, 177.57, 24.08
776, 176.40, 24.36
777, 176.40, 24.36
778, 175.62, 24.55
779, 174.39, 24.24
780, 174.00, 24.34
781, 174.00, 24.34
782, 173.16, 23.94
783, 172.38, 24.13
784, 171.60, 24.32
785, 170.76, 23.92
786, 170.76, 23.92
787, 169.59, 24.20
788, 168.81, 24.39
789, 168.36, 23.90
790, 168.36, 23.90
791, 167.64, 24.67
792, 167.64, 24.67
793, 167.19, 24.18
794, 165.51, 23.39
795, 165.51, 23.39
796, 165.18, 24.07
797, 165.18, 24.07
798, 165.96, 23.88
799, 165.96, 23.88
800, 166.35, 23.79
801, 166.35, 23.79
802, 166.41, 24.37
803, 166.41, 24.37
804, 165.96, 23.88
805, 165.96, 23.88
806, 165.96, 23.88
807, 165.96, 23.88
808, 165.96, 23.88
809, 165.96, 23.88
810, 165.96, 23.88
811, 165.96, 23.88
812, 165.96, 23.88
813, 165.96, 23.88
814, 166.35, 23.79
815, 166.41, 24.37
816, 167.58, 24.09
817, 167.13, 23.60
818, 167.13, 23.60
819, 167.58, 24.09
820, 167.58, 24.09
821, 168.30, 23.31
822, 168.69, 23.22
823, 169.08, 23.13
824, 169.08, 23.13
825, 169.08, 23.13
826, 169.08, 23.13
827, 169.47, 23.03
828, 170.31, 23.43
829, 170.31, 23.43
830, 170.76, 23.92
831, 171.21, 24.41
832, 171.15, 23.83
833, 172.04, 24.81
834, 172.04, 24.81
835, 172.04, 24.81
836, 172.49, 25.30
837, 172.49, 25.30
838, 172.88, 25.20
839, 172.88, 25.20
840, 173.27, 25.11
841, 173.32, 25.69
842, 174.21, 26.67
843, 174.21, 26.67
844, 174.21, 26.67
845, 174.32, 27.83
846, 174.21, 26.67
847, 174.21, 26.67
848, 174.71, 27.74
849, 174.71, 27.74
850, 174.66, 27.16
851, 174.32, 27.83
852, 174.66, 27.16
853, 174.27, 27.25
854, 174.27, 27.25
855, 174.27, 27.25
856, 174.27, 27.25
857, 174.27, 27.25
858, 174.27, 27.25
859, 174.27, 27.25
860, 174.27, 27.25
861, 174.27, 27.25
862, 174.27, 27.25
863, 174.76, 28.32
864, 174.76, 28.32
865, 174.82, 28.90
866, 175.31, 29.96
867, 174.87, 29.47
868, 175.41, 31.10
869, 174.64, 31.29
870, 174.74, 32.43
871, 174.64, 31.29
872, 174.64, 31.29
873, 174.74, 32.43
874, 174.85, 33.57
875, 175.01, 35.28
876, 174.18, 34.89
877, 174.29, 36.02
878, 174.34, 36.59
879, 174.29, 36.02
880, 174.45, 37.72
881, 174.17, 38.93
882, 174.17, 38.93
883, 173.95, 40.69
884, 173.84, 39.58
885, 173.51, 40.22
886, 173.51, 40.22
887, 173.57, 40.78
888, 173.18, 40.87
889, 173.34, 42.54
890, 172.96, 42.63
891, 172.96, 42.63
892, 172.69, 43.82
893, 172.37, 44.46
894, 172.04, 45.10
895, 172.04, 45.10
896, 171.77, 46.28
897, 171.45, 46.92
898, 171.50, 47.46
899, 171.18, 48.09
900, 171.18, 48.09
901, 170.86, 48.72
902, 170.91, 49.27
903, 170.65, 50.44
904, 170.65, 50.44
905, 169.95, 51.15
906, 170.01, 51.69
907, 169.69, 52.31
908, 169.42, 53.47
909, 169.42, 53.47
910, 169.16, 54.62
911, 168.79, 54.71
912, 168.47, 55.33
913, 168.16, 55.94
914, 168.10, 55.41
915, 167.47, 56.64
916, 167.53, 57.17
917, 167.22, 57.78
918, 166.90, 58.40
919, 166.59, 59.01
920, 166.28, 59.62
921, 165.91, 59.70
922, 165.97, 60.22
923, 165.66, 60.83
924, 165.35, 61.44
925, 165.04, 62.04
926, 164.73, 62.64
927, 164.73, 62.64
928, 164.48, 63.76
929, 164.05, 63.33
930, 163.81, 64.45
931, 163.56, 65.56
932, 163.19, 65.64
933, 162.89, 66.24
934, 162.58, 66.83
935, 162.58, 66.83
936, 162.28, 67.43
937, 162.40, 68.45
938, 161.97, 71.15
939, 162.10, 69.04
940, 161.79, 69.63
941, 161.61, 71.23
942, 161.55, 70.73
943, 161.55, 70.73
944, 161.07, 72.91
945, 160.65, 72.48
946, 160.71, 72.98
947, 160.60, 75.07
948, 161.67, 74.83
949, 160.24, 75.15
950, 160.48, 77.14
951, 160.48, 77.14
952, 160.06, 76.72
953, 159.83, 77.79
954, 159.89, 78.29
955, 159.59, 78.86
956, 159.30, 79.43
957, 159.30, 79.43
958, 159.42, 80.41
959, 159.48, 80.90
960, 159.18, 81.47
961, 159.32, 85.43
962, 159.43, 83.42
963, 159.26, 84.95
964, 159.26, 84.95
965, 159.55, 84.39
966, 159.26, 84.95
967, 158.61, 85.59
968, 159.27, 87.91
969, 159.27, 87.91
970, 159.04, 88.95
971, 159.04, 88.95
972, 158.92, 87.99
973, 159.69, 91.25
974, 159.34, 91.32
975, 158.99, 91.40
976, 158.99, 91.40
977, 159.46, 92.27
978, 159.17, 92.82
979, 159.35, 94.23
980, 159.82, 95.09
981, 159.88, 95.56
982, 159.47, 95.16
983, 159.65, 96.56
984, 159.36, 97.10
985, 159.36, 97.10
986, 159.83, 97.95
987, 159.94, 98.88
988, 160.06, 99.80
989, 160.12, 100.26
990, 160.24, 101.18
991, 160.24, 101.18
992, 160.64, 101.56
993, 160.47, 103.01
994, 160.41, 102.55
995, 160.41, 102.55
996, 161.04, 104.75
997, 161.04, 104.75
998, 161.16, 105.65
999, 161.04, 104.75
1000, 161.16, 105.65
1001, 161.16, 105.65
1002, 161.27, 106.56
1003, 161.39, 107.45
1004, 161.39, 107.45
1005, 161.61, 109.24
1006, 161.56, 108.80
1007, 161.61, 109.24
1008, 161.33, 109.76
1009, 161.90, 111.46
1010, 161.90, 111.46
1011, 161.61, 111.97
1012, 161.61, 111.97
1013, 161.84, 113.74
1014, 161.50, 113.80
1015, 162.12, 115.92
1016, 162.12, 115.92
1017, 162.17, 116.36
1018, 161.89, 116.86
1019, 161.89, 116.86
1020, 161.67, 117.80
1021, 162.22, 119.46
1022, 162.22, 119.46
1023, 162.28, 119.89
1024, 161.95, 119.95
1025, 162.50, 121.60
1026, 162.17, 121.67
1027, 162.33, 122.94
1028, 162.33, 122.94
1029, 162.06, 123.44
1030, 162.06, 123.44
1031, 161.83, 124.35
1032, 162.33, 125.55
1033, 162.05, 126.04
1034, 162.05, 126.04
1035, 162.05, 126.04
1036, 161.83, 126.94
1037, 161.89, 127.36
1038, 162.43, 128.97
1039, 161.72, 128.68
1040, 161.72, 128.68
1041, 161.72, 128.68
1042, 161.72, 128.68
1043, 161.72, 128.68
1044, 162.21, 129.86
1045, 162.43, 131.52
1046, 162.27, 132.81
1047, 162.37, 133.63
1048, 162.75, 133.98
1049, 162.53, 134.86
1050, 162.69, 136.08
1051, 162.69, 136.08
1052, 162.69, 136.08
1053, 162.69, 136.08
1054, 162.69, 136.08
1055, 162.69, 136.08
1056, 162.48, 136.95
1057, 162.74, 138.97
1058, 162.90, 140.17
1059, 162.90, 140.17
1060, 162.74, 141.43
1061, 162.84, 142.23
1062, 162.84, 142.23
1063, 163.05, 143.81
1064, 162.73, 143.87
1065, 162.73, 143.87
1066, 162.46, 144.32
1067, 162.73, 146.29
1068, 163.04, 146.23
1069, 162.83, 147.07
1070, 162.83, 147.07
1071, 163.15, 147.01
1072, 163.41, 148.95
1073, 163.09, 149.01
1074, 163.30, 150.56
1075, 163.30, 150.56
1076, 163.35, 150.94
1077, 163.50, 152.09
1078, 163.24, 152.53
1079, 163.39, 153.68
1080, 163.39, 153.68
1081, 163.49, 154.44
1082, 163.49, 154.44
1083, 163.33, 155.63
1084, 163.43, 156.39
1085, 163.43, 156.39
1086, 163.59, 157.52
1087, 163.38, 158.32
1088, 163.84, 159.39
1089, 163.48, 159.07
1090, 164.09, 161.24
1091, 164.09, 161.24
1092, 163.78, 161.30
1093, 163.83, 161.67
1094, 163.47, 161.36
1095, 163.72, 163.20
1096, 163.51, 163.99
1097, 163.56, 164.36
1098, 163.56, 164.36
1099, 163.30, 164.78
1100, 163.30, 164.78
1101, 163.81, 166.18
1102, 164.31, 167.57
1103, 164.41, 168.29
1104, 164.41, 168.29
1105, 164.15, 168.71
1106, 164.25, 169.43
1107, 164.35, 170.14
1108, 164.70, 170.45
1109, 164.29, 171.98
1110, 164.29, 171.98
1111, 164.39, 172.69
1112, 164.88, 174.05
1113, 164.63, 174.46
1114, 164.63, 174.46
1115, 164.47, 175.56
1116, 164.47, 175.56
1117, 164.57, 176.26
1118, 164.71, 177.31
1119, 164.76, 177.66
1120, 164.86, 178.35
1121, 164.95, 179.04
1122, 165.09, 180.08
1123, 165.09, 180.08
1124, 164.89, 180.82
1125, 164.89, 180.82
1126, 165.03, 181.85
1127, 165.03, 181.85
1128, 164.92, 183.26
1129, 165.02, 183.94
1130, 165.06, 184.28
1131, 164.91, 185.35
1132, 165.25, 185.63
1133, 165.35, 186.31
1134, 165.10, 186.69
1135, 165.19, 187.36
1136, 165.28, 188.03
1137, 165.38, 188.70
1138, 165.38, 188.70
1139, 165.47, 189.36
1140, 165.52, 189.70
1141, 165.52, 189.70
1142, 165.36, 190.74
1143, 165.68, 193.04
1144, 165.68, 193.04
1145, 165.77, 193.69
1146, 165.77, 193.69
1147, 165.58, 194.39
1148, 165.67, 195.04
1149, 165.80, 196.02
1150, 165.94, 196.98
1151, 166.03, 197.63
1152, 165.83, 198.32
1153, 165.92, 198.96
1154, 166.01, 199.60
1155, 166.15, 200.55
1156, 165.91, 200.92
1157, 165.91, 200.92
1158, 165.99, 201.55
1159, 166.17, 202.81
1160, 166.26, 203.44
1161, 166.35, 204.07
1162, 166.35, 204.07
1163, 166.20, 205.05
1164, 166.05, 206.03
1165, 166.14, 206.65
1166, 166.18, 206.96
1167, 166.23, 207.27
1168, 166.40, 208.50
1169, 166.21, 209.16
1170, 166.30, 209.77
1171, 166.06, 210.12
1172, 166.06, 210.12
1173, 166.19, 211.04
1174, 166.41, 212.55
1175, 166.41, 212.55
1176, 166.30, 213.81
1177, 166.30, 213.81
1178, 166.43, 214.71
1179, 166.43, 214.71
1180, 166.37, 216.24
1181, 166.50, 217.13
1182, 166.63, 218.02
1183, 166.63, 218.02
1184, 166.76, 218.91
1185, 166.76, 218.91
1186, 166.80, 219.20
1187, 166.78, 221.00
1188, 166.87, 221.58
1189, 166.95, 222.17
1190, 166.95, 222.17
1191, 166.85, 223.37
1192, 166.93, 223.94
1193, 167.02, 224.52
1194, 167.06, 224.81
1195, 167.06, 224.81
1196, 166.87, 225.42
1197, 166.91, 225.71
1198, 167.16, 227.42
1199, 167.16, 227.42
1200, 167.20, 227.70
1201, 167.20, 227.70
1202, 167.02, 228.31
1203, 167.02, 228.31
